"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+2.84125000000E+008, -1.56603355478E+001, +0.00000000000E+000
+2.84143750000E+008, -1.56886194192E+001, +0.00000000000E+000
+2.84162500000E+008, -1.57083818278E+001, +0.00000000000E+000
+2.84181250000E+008, -1.57287582636E+001, +0.00000000000E+000
+2.84200000000E+008, -1.57412671744E+001, +0.00000000000E+000
+2.84218750000E+008, -1.57536650524E+001, +0.00000000000E+000
+2.84237500000E+008, -1.57628564794E+001, +0.00000000000E+000
+2.84256250000E+008, -1.57710942741E+001, +0.00000000000E+000
+2.84275000000E+008, -1.57719791517E+001, +0.00000000000E+000
+2.84293750000E+008, -1.57714883128E+001, +0.00000000000E+000
+2.84312500000E+008, -1.57661501518E+001, +0.00000000000E+000
+2.84331250000E+008, -1.57579868740E+001, +0.00000000000E+000
+2.84350000000E+008, -1.57427721740E+001, +0.00000000000E+000
+2.84368750000E+008, -1.57269532703E+001, +0.00000000000E+000
+2.84387500000E+008, -1.57117486594E+001, +0.00000000000E+000
+2.84406250000E+008, -1.56896968593E+001, +0.00000000000E+000
+2.84425000000E+008, -1.56657075136E+001, +0.00000000000E+000
+2.84443750000E+008, -1.56384064889E+001, +0.00000000000E+000
+2.84462500000E+008, -1.56132973444E+001, +0.00000000000E+000
+2.84481250000E+008, -1.55709937864E+001, +0.00000000000E+000
+2.84500000000E+008, -1.55364347413E+001, +0.00000000000E+000
+2.84518750000E+008, -1.55010223414E+001, +0.00000000000E+000
+2.84537500000E+008, -1.54547586395E+001, +0.00000000000E+000
+2.84556250000E+008, -1.54131277293E+001, +0.00000000000E+000
+2.84575000000E+008, -1.53679528061E+001, +0.00000000000E+000
+2.84593750000E+008, -1.53137826890E+001, +0.00000000000E+000
+2.84612500000E+008, -1.52625525124E+001, +0.00000000000E+000
+2.84631250000E+008, -1.52128239617E+001, +0.00000000000E+000
+2.84650000000E+008, -1.51571766247E+001, +0.00000000000E+000
+2.84668750000E+008, -1.50983901463E+001, +0.00000000000E+000
+2.84687500000E+008, -1.50390926208E+001, +0.00000000000E+000
+2.84706250000E+008, -1.49762527291E+001, +0.00000000000E+000
+2.84725000000E+008, -1.49205438091E+001, +0.00000000000E+000
+2.84743750000E+008, -1.48543754377E+001, +0.00000000000E+000
+2.84762500000E+008, -1.47856125019E+001, +0.00000000000E+000
