"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+2.86618750000E+008, +3.52804255792E-001, -1.36363076780E+002
+2.86637500000E+008, +3.54437632749E-001, -1.36916351323E+002
+2.86656250000E+008, +3.56026147535E-001, -1.37460842690E+002
+2.86675000000E+008, +3.57707247838E-001, -1.38004774356E+002
+2.86693750000E+008, +3.59261122497E-001, -1.38553186341E+002
+2.86712500000E+008, +3.60932418304E-001, -1.39085334264E+002
+2.86731250000E+008, +3.62544747278E-001, -1.39619209729E+002
+2.86750000000E+008, +3.64140111494E-001, -1.40147307875E+002
+2.86768750000E+008, +3.65794252595E-001, -1.40680135662E+002
+2.86787500000E+008, +3.67423960277E-001, -1.41223244390E+002
+2.86806250000E+008, +3.69088040506E-001, -1.41732411040E+002
+2.86825000000E+008, +3.70726958808E-001, -1.42246595707E+002
+2.86843750000E+008, +3.72273489300E-001, -1.42766141901E+002
+2.86862500000E+008, +3.74070609444E-001, -1.43295893196E+002
+2.86881250000E+008, +3.75589703184E-001, -1.43785669991E+002
+2.86900000000E+008, +3.77216174536E-001, -1.44300345627E+002
+2.86918750000E+008, +3.78969844181E-001, -1.44808151510E+002
+2.86937500000E+008, +3.80584320877E-001, -1.45302064770E+002
+2.86956250000E+008, +3.82199626052E-001, -1.45799816928E+002
+2.86975000000E+008, +3.83924236344E-001, -1.46292945280E+002
+2.86993750000E+008, +3.85540910726E-001, -1.46779853909E+002
+2.87012500000E+008, +3.87300684376E-001, -1.47274598501E+002
+2.87031250000E+008, +3.88952561154E-001, -1.47753048381E+002
+2.87050000000E+008, +3.90564857166E-001, -1.48259888165E+002
+2.87068750000E+008, +3.92288962868E-001, -1.48728817671E+002
+2.87087500000E+008, +3.93972652853E-001, -1.49203099663E+002
+2.87106250000E+008, +3.95625687086E-001, -1.49687819496E+002
+2.87125000000E+008, +3.97300745659E-001, -1.50151538631E+002
+2.87143750000E+008, +3.99067517044E-001, -1.50613984100E+002
+2.87162500000E+008, +4.00644446073E-001, -1.51090373268E+002
+2.87181250000E+008, +4.02416638053E-001, -1.51553650374E+002
+2.87200000000E+008, +4.04130437079E-001, -1.52012935917E+002
+2.87218750000E+008, +4.05816263035E-001, -1.52473175123E+002
+2.87237500000E+008, +4.07542443296E-001, -1.52929242599E+002
+2.87256250000E+008, +4.09312581586E-001, -1.53385118152E+002
+2.87275000000E+008, +4.11004577099E-001, -1.53831999847E+002
+2.87293750000E+008, +4.12791618680E-001, -1.54284381309E+002
+2.87312500000E+008, +4.14494446215E-001, -1.54735919909E+002
+2.87331250000E+008, +4.16250302755E-001, -1.55174222576E+002
+2.87350000000E+008, +4.17976518578E-001, -1.55612846258E+002
+2.87368750000E+008, +4.19729527658E-001, -1.56042930974E+002
+2.87387500000E+008, +4.21493244216E-001, -1.56478702686E+002
+2.87406250000E+008, +4.23254600366E-001, -1.56911183032E+002
+2.87425000000E+008, +4.24991847459E-001, -1.57343069546E+002
+2.87443750000E+008, +4.26805959082E-001, -1.57766615640E+002
+2.87462500000E+008, +4.28492204508E-001, -1.58194698160E+002
+2.87481250000E+008, +4.30293602910E-001, -1.58610693998E+002
+2.87500000000E+008, +4.32108970725E-001, -1.59036768373E+002
+2.87518750000E+008, +4.33864718437E-001, -1.59455718469E+002
+2.87537500000E+008, +4.35664077106E-001, -1.59880575454E+002
+2.87556250000E+008, +4.37487199849E-001, -1.60297837195E+002
+2.87575000000E+008, +4.39316774461E-001, -1.60700209533E+002
+2.87593750000E+008, +4.41150327319E-001, -1.61115934237E+002
+2.87612500000E+008, +4.42914147573E-001, -1.61524279738E+002
+2.87631250000E+008, +4.44749152507E-001, -1.61931534122E+002
+2.87650000000E+008, +4.46559673964E-001, -1.62338762413E+002
+2.87668750000E+008, +4.48449230764E-001, -1.62726414590E+002
+2.87687500000E+008, +4.50271554602E-001, -1.63130056009E+002
+2.87706250000E+008, +4.52136755052E-001, -1.63517055678E+002
+2.87725000000E+008, +4.53960150057E-001, -1.63914968729E+002
+2.87743750000E+008, +4.55852070458E-001, -1.64305267471E+002
+2.87762500000E+008, +4.57652678799E-001, -1.64689409236E+002
+2.87781250000E+008, +4.59494103061E-001, -1.65090406411E+002
+2.87800000000E+008, +4.61327474900E-001, -1.65476322739E+002
+2.87818750000E+008, +4.63245163063E-001, -1.65858570137E+002
+2.87837500000E+008, +4.65019073238E-001, -1.66233877624E+002
+2.87856250000E+008, +4.67002227769E-001, -1.66631578564E+002
+2.87875000000E+008, +4.68771145969E-001, -1.67001349704E+002
+2.87893750000E+008, +4.70667114514E-001, -1.67393589576E+002
+2.87912500000E+008, +4.72482657989E-001, -1.67759838069E+002
+2.87931250000E+008, +4.74406975380E-001, -1.68129687202E+002
+2.87950000000E+008, +4.76310948868E-001, -1.68493676981E+002
+2.87968750000E+008, +4.78089829046E-001, -1.68860454365E+002
+2.87987500000E+008, +4.80020752569E-001, -1.69237022369E+002
+2.88006250000E+008, +4.81999047223E-001, -1.69597915310E+002
+2.88025000000E+008, +4.83777863174E-001, -1.69968970856E+002
+2.88043750000E+008, +4.85708778360E-001, -1.70329151982E+002
+2.88062500000E+008, +4.87520976186E-001, -1.70691600541E+002
+2.88081250000E+008, +4.89416645775E-001, -1.71046123023E+002
+2.88100000000E+008, +4.91364384697E-001, -1.71398528322E+002
+2.88118750000E+008, +4.93255520601E-001, -1.71761075828E+002
+2.88137500000E+008, +4.95165780520E-001, -1.72108424828E+002
+2.88156250000E+008, +4.97052996838E-001, -1.72461394369E+002
+2.88175000000E+008, +4.98930986541E-001, -1.72805941381E+002
+2.88193750000E+008, +5.00918353867E-001, -1.73167111883E+002
+2.88212500000E+008, +5.02752858921E-001, -1.73510997427E+002
+2.88231250000E+008, +5.04562711670E-001, -1.73856134235E+002
+2.88250000000E+008, +5.06486309750E-001, -1.74209884391E+002
+2.88268750000E+008, +5.08319071791E-001, -1.74555367856E+002
+2.88287500000E+008, +5.10269118879E-001, -1.74893083580E+002
+2.88306250000E+008, +5.12201198644E-001, -1.75233212353E+002
+2.88325000000E+008, +5.14184487558E-001, -1.75564201077E+002
+2.88343750000E+008, +5.15850230554E-001, -1.75901736546E+002
+2.88362500000E+008, +5.17748850141E-001, -1.76249603312E+002
+2.88381250000E+008, +5.19609338425E-001, -1.76578689692E+002
+2.88400000000E+008, +5.21576221022E-001, -1.76924308016E+002
+2.88418750000E+008, +5.23452435943E-001, -1.77257610310E+002
