"# Channel 1"
"# Trace 3"
Frequency, Formatted Data, Formatted Data
+2.84968750000E+008, -7.96879976532E+000, +0.00000000000E+000
+2.84987500000E+008, -7.93144739519E+000, +0.00000000000E+000
+2.85006250000E+008, -7.89646728112E+000, +0.00000000000E+000
+2.85025000000E+008, -7.85961446511E+000, +0.00000000000E+000
+2.85043750000E+008, -7.82447346809E+000, +0.00000000000E+000
+2.85062500000E+008, -7.78665813620E+000, +0.00000000000E+000
+2.85081250000E+008, -7.75035565556E+000, +0.00000000000E+000
+2.85100000000E+008, -7.71426334850E+000, +0.00000000000E+000
+2.85118750000E+008, -7.67568040861E+000, +0.00000000000E+000
+2.85137500000E+008, -7.64217973671E+000, +0.00000000000E+000
+2.85156250000E+008, -7.60637683889E+000, +0.00000000000E+000
+2.85175000000E+008, -7.57182487495E+000, +0.00000000000E+000
+2.85193750000E+008, -7.53805008786E+000, +0.00000000000E+000
+2.85212500000E+008, -7.50389014249E+000, +0.00000000000E+000
+2.85231250000E+008, -7.46589515233E+000, +0.00000000000E+000
+2.85250000000E+008, -7.43094384956E+000, +0.00000000000E+000
+2.85268750000E+008, -7.39951971410E+000, +0.00000000000E+000
+2.85287500000E+008, -7.36501034355E+000, +0.00000000000E+000
+2.85306250000E+008, -7.33211565455E+000, +0.00000000000E+000
+2.85325000000E+008, -7.29839357779E+000, +0.00000000000E+000
+2.85343750000E+008, -7.26833003431E+000, +0.00000000000E+000
+2.85362500000E+008, -7.23412536174E+000, +0.00000000000E+000
+2.85381250000E+008, -7.20274244020E+000, +0.00000000000E+000
+2.85400000000E+008, -7.17196460012E+000, +0.00000000000E+000
+2.85418750000E+008, -7.14122801644E+000, +0.00000000000E+000
+2.85437500000E+008, -7.11110330855E+000, +0.00000000000E+000
+2.85456250000E+008, -7.08068492093E+000, +0.00000000000E+000
+2.85475000000E+008, -7.05144732697E+000, +0.00000000000E+000
+2.85493750000E+008, -7.02276508153E+000, +0.00000000000E+000
+2.85512500000E+008, -6.99492478044E+000, +0.00000000000E+000
+2.85531250000E+008, -6.96608195655E+000, +0.00000000000E+000
+2.85550000000E+008, -6.93947308122E+000, +0.00000000000E+000
+2.85568750000E+008, -6.91313819991E+000, +0.00000000000E+000
+2.85587500000E+008, -6.88714397101E+000, +0.00000000000E+000
+2.85606250000E+008, -6.86140186949E+000, +0.00000000000E+000
+2.85625000000E+008, -6.83540110784E+000, +0.00000000000E+000
+2.85643750000E+008, -6.81102901468E+000, +0.00000000000E+000
+2.85662500000E+008, -6.78635271617E+000, +0.00000000000E+000
+2.85681250000E+008, -6.76521960196E+000, +0.00000000000E+000
+2.85700000000E+008, -6.74232124816E+000, +0.00000000000E+000
+2.85718750000E+008, -6.72044137595E+000, +0.00000000000E+000
+2.85737500000E+008, -6.69784141095E+000, +0.00000000000E+000
+2.85756250000E+008, -6.67653359308E+000, +0.00000000000E+000
+2.85775000000E+008, -6.65827853141E+000, +0.00000000000E+000
+2.85793750000E+008, -6.63938378515E+000, +0.00000000000E+000
+2.85812500000E+008, -6.62177674782E+000, +0.00000000000E+000
+2.85831250000E+008, -6.60211269207E+000, +0.00000000000E+000
+2.85850000000E+008, -6.58346019601E+000, +0.00000000000E+000
+2.85868750000E+008, -6.56866129926E+000, +0.00000000000E+000
+2.85887500000E+008, -6.55457440937E+000, +0.00000000000E+000
+2.85906250000E+008, -6.53703920867E+000, +0.00000000000E+000
+2.85925000000E+008, -6.52229510297E+000, +0.00000000000E+000
+2.85943750000E+008, -6.50912317503E+000, +0.00000000000E+000
+2.85962500000E+008, -6.49457319871E+000, +0.00000000000E+000
+2.85981250000E+008, -6.48461476414E+000, +0.00000000000E+000
+2.86000000000E+008, -6.47432725828E+000, +0.00000000000E+000
+2.86018750000E+008, -6.46424855911E+000, +0.00000000000E+000
+2.86037500000E+008, -6.45273619895E+000, +0.00000000000E+000
