"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.85006250000E+008, +4.13599518309E-001, -1.39434711228E+002
+2.85025000000E+008, +4.15042292443E-001, -1.39143750410E+002
+2.85043750000E+008, +4.16453055465E-001, -1.38864094507E+002
+2.85062500000E+008, +4.17975204101E-001, -1.38580528620E+002
+2.85081250000E+008, +4.19592233937E-001, -1.38306899783E+002
+2.85100000000E+008, +4.21063027204E-001, -1.38022079884E+002
+2.85118750000E+008, +4.22596767965E-001, -1.37756419348E+002
+2.85137500000E+008, +4.24138295071E-001, -1.37499800295E+002
+2.85156250000E+008, +4.25683204594E-001, -1.37244490205E+002
+2.85175000000E+008, +4.27173946426E-001, -1.37003175707E+002
+2.85193750000E+008, +4.28783129026E-001, -1.36743859078E+002
+2.85212500000E+008, +4.30320377472E-001, -1.36487898556E+002
+2.85231250000E+008, +4.31821092366E-001, -1.36237938523E+002
+2.85250000000E+008, +4.33380995835E-001, -1.36024211102E+002
+2.85268750000E+008, +4.34922205614E-001, -1.35786075799E+002
+2.85287500000E+008, +4.36510410094E-001, -1.35548599316E+002
+2.85306250000E+008, +4.38108684968E-001, -1.35336337766E+002
+2.85325000000E+008, +4.39463782998E-001, -1.35107524426E+002
+2.85343750000E+008, +4.41065859423E-001, -1.34887387892E+002
+2.85362500000E+008, +4.42635381512E-001, -1.34664872120E+002
+2.85381250000E+008, +4.44221348809E-001, -1.34456803132E+002
+2.85400000000E+008, +4.45649403911E-001, -1.34242922126E+002
+2.85418750000E+008, +4.47188070946E-001, -1.34050592174E+002
+2.85437500000E+008, +4.48691199445E-001, -1.33855772016E+002
+2.85456250000E+008, +4.50214606310E-001, -1.33661857965E+002
+2.85475000000E+008, +4.51734730301E-001, -1.33476917433E+002
+2.85493750000E+008, +4.53196340479E-001, -1.33286472724E+002
+2.85512500000E+008, +4.54609719546E-001, -1.33093954629E+002
+2.85531250000E+008, +4.56125717219E-001, -1.32908189804E+002
+2.85550000000E+008, +4.57529418798E-001, -1.32723553634E+002
+2.85568750000E+008, +4.58931103920E-001, -1.32567878165E+002
+2.85587500000E+008, +4.60269409713E-001, -1.32392257278E+002
+2.85606250000E+008, +4.61716622851E-001, -1.32231449249E+002
+2.85625000000E+008, +4.62990625652E-001, -1.32077610036E+002
+2.85643750000E+008, +4.64379268899E-001, -1.31902022948E+002
+2.85662500000E+008, +4.65732156568E-001, -1.31745180312E+002
+2.85681250000E+008, +4.67007978891E-001, -1.31584462110E+002
+2.85700000000E+008, +4.68291847301E-001, -1.31441094707E+002
+2.85718750000E+008, +4.69491106760E-001, -1.31294147977E+002
+2.85737500000E+008, +4.70754598724E-001, -1.31169647085E+002
+2.85756250000E+008, +4.71924252866E-001, -1.31025635396E+002
+2.85775000000E+008, +4.73239944964E-001, -1.30889479715E+002
+2.85793750000E+008, +4.74238466380E-001, -1.30735160080E+002
+2.85812500000E+008, +4.75362275865E-001, -1.30611852848E+002
+2.85831250000E+008, +4.76412304800E-001, -1.30480235270E+002
+2.85850000000E+008, +4.77558526169E-001, -1.30358301584E+002
+2.85868750000E+008, +4.78594003392E-001, -1.30251348507E+002
+2.85887500000E+008, +4.79464274109E-001, -1.30115943302E+002
+2.85906250000E+008, +4.80536836709E-001, -1.30021864268E+002
+2.85925000000E+008, +4.81448241744E-001, -1.29903570584E+002
+2.85943750000E+008, +4.82461551795E-001, -1.29780452395E+002
+2.85962500000E+008, +4.83269795981E-001, -1.29684064814E+002
+2.85981250000E+008, +4.84121876538E-001, -1.29569926795E+002
+2.86000000000E+008, +4.84964523987E-001, -1.29459268051E+002
+2.86018750000E+008, +4.85575876454E-001, -1.29379986491E+002
+2.86037500000E+008, +4.86394096380E-001, -1.29285098484E+002
+2.86056250000E+008, +4.87101530630E-001, -1.29205597001E+002
+2.86075000000E+008, +4.87701966108E-001, -1.29102957701E+002
+2.86093750000E+008, +4.88333411301E-001, -1.29013278900E+002
+2.86112500000E+008, +4.89013999502E-001, -1.28922024538E+002
+2.86131250000E+008, +4.89438776467E-001, -1.28836468758E+002
+2.86150000000E+008, +4.89966426196E-001, -1.28772464711E+002
+2.86168750000E+008, +4.90300974486E-001, -1.28698616451E+002
+2.86187500000E+008, +4.90742127171E-001, -1.28636971416E+002
+2.86206250000E+008, +4.91148241256E-001, -1.28573692117E+002
+2.86225000000E+008, +4.91458724608E-001, -1.28502159946E+002
+2.86243750000E+008, +4.91742155090E-001, -1.28443146510E+002
+2.86262500000E+008, +4.92016101341E-001, -1.28375973585E+002
+2.86281250000E+008, +4.92165599891E-001, -1.28321158156E+002
+2.86300000000E+008, +4.92239279262E-001, -1.28258232580E+002
+2.86318750000E+008, +4.92243746547E-001, -1.28215006983E+002
+2.86337500000E+008, +4.92438935659E-001, -1.28184843416E+002
+2.86356250000E+008, +4.92457578033E-001, -1.28148446443E+002
+2.86375000000E+008, +4.92423099342E-001, -1.28098893779E+002
+2.86393750000E+008, +4.92170865475E-001, -1.28065890502E+002
+2.86412500000E+008, +4.92072821060E-001, -1.28024425484E+002
+2.86431250000E+008, +4.91897100303E-001, -1.27988133403E+002
+2.86450000000E+008, +4.91657063617E-001, -1.27957026078E+002
+2.86468750000E+008, +4.91297980991E-001, -1.27952448046E+002
+2.86487500000E+008, +4.90891385443E-001, -1.27947714902E+002
+2.86506250000E+008, +4.90560209654E-001, -1.27933775309E+002
+2.86525000000E+008, +4.90155118713E-001, -1.27931111889E+002
+2.86543750000E+008, +4.89626535903E-001, -1.27904036161E+002
+2.86562500000E+008, +4.89003665245E-001, -1.27900457521E+002
+2.86581250000E+008, +4.88384090485E-001, -1.27893564116E+002
+2.86600000000E+008, +4.87643228311E-001, -1.27904198844E+002
+2.86618750000E+008, +4.87023357537E-001, -1.27914576646E+002
+2.86637500000E+008, +4.86202361300E-001, -1.27929867235E+002
+2.86656250000E+008, +4.85364502726E-001, -1.27973407163E+002
+2.86675000000E+008, +4.84451311030E-001, -1.27996565899E+002
+2.86693750000E+008, +4.83465067983E-001, -1.28015187033E+002
+2.86712500000E+008, +4.82441179956E-001, -1.28033646118E+002
+2.86731250000E+008, +4.81446816433E-001, -1.28075601572E+002
+2.86750000000E+008, +4.80327340545E-001, -1.28133875234E+002
+2.86768750000E+008, +4.79227658697E-001, -1.28180187611E+002
+2.86787500000E+008, +4.78083307874E-001, -1.28236411300E+002
+2.86806250000E+008, +4.76797696729E-001, -1.28320797298E+002
+2.86825000000E+008, +4.75425883464E-001, -1.28376971148E+002
+2.86843750000E+008, +4.73956475166E-001, -1.28453047042E+002
+2.86862500000E+008, +4.72525107698E-001, -1.28527057560E+002
+2.86881250000E+008, +4.71157813467E-001, -1.28624087016E+002
+2.86900000000E+008, +4.69506712045E-001, -1.28721358808E+002
+2.86918750000E+008, +4.67966801872E-001, -1.28819445039E+002
+2.86937500000E+008, +4.66353243544E-001, -1.28947400532E+002
